x,y,z,label
-0.463205,-2.456245,1.682857,reconstructed_only
-0.449096,-4.039361,1.62,reconstructed_only
-0.449096,-4.039361,1.71,reconstructed_only
-0.449096,-4.039361,1.8,reconstructed_only
-0.449096,-4.039361,1.89,reconstructed_only
-0.449096,-4.039361,1.98,reconstructed_only
-0.449096,-4.039361,2.07,reconstructed_only
-0.449096,-4.039361,2.16,reconstructed_only
-0.449096,-4.039361,2.25,reconstructed_only
-0.449096,-4.039361,2.34,reconstructed_only
-0.449096,-4.039361,2.43,reconstructed_only
-0.449096,-4.039361,2.52,reconstructed_only
-0.449096,-4.039361,2.61,reconstructed_only
-0.362174,-3.211542,2.53,reconstructed_only
-0.362174,-3.211542,2.69,reconstructed_only
-0.348204,-3.087582,2.362143,reconstructed_only
-0.348204,-3.087582,2.522143,reconstructed_only
-0.334235,-2.963623,2.194286,reconstructed_only
-0.334235,-2.963623,2.354286,reconstructed_only
-0.320265,-2.839664,2.026429,reconstructed_only
-0.320265,-2.839664,2.186429,reconstructed_only
-0.299543,-4.045271,1.62,reconstructed_only
-0.299543,-4.045271,1.71,reconstructed_only
-0.299543,-4.045271,1.8,reconstructed_only
-0.299543,-4.045271,1.89,reconstructed_only
-0.299543,-4.045271,1.98,reconstructed_only
-0.299543,-4.045271,2.07,reconstructed_only
-0.299543,-4.045271,2.16,reconstructed_only
-0.299543,-4.045271,2.25,reconstructed_only
-0.299543,-4.045271,2.34,reconstructed_only
-0.299543,-4.045271,2.43,reconstructed_only
-0.299543,-4.045271,2.52,reconstructed_only
-0.299543,-4.045271,2.61,reconstructed_only
-0.299543,-4.045271,2.7,reconstructed_only
-0.306296,-2.715705,1.858571,reconstructed_only
-0.306296,-2.715705,2.018571,reconstructed_only
-0.292326,-2.591745,1.690714,reconstructed_only
-0.292326,-2.591745,1.850714,reconstructed_only
-0.278357,-2.467786,1.522857,reconstructed_only
-0.278357,-2.467786,1.682857,reconstructed_only
-0.264387,-2.343827,1.515,reconstructed_only
-0.149815,-4.048817,1.62,reconstructed_only
-0.149815,-4.048817,1.71,reconstructed_only
-0.149815,-4.048817,1.8,reconstructed_only
-0.149815,-4.048817,1.89,reconstructed_only
-0.149815,-4.048817,1.98,reconstructed_only
-0.149815,-4.048817,2.07,reconstructed_only
-0.149815,-4.048817,2.16,reconstructed_only
-0.149815,-4.048817,2.25,reconstructed_only
-0.149815,-4.048817,2.34,reconstructed_only
-0.149815,-4.048817,2.43,reconstructed_only
-0.149815,-4.048817,2.52,reconstructed_only
-0.149815,-4.048817,2.61,reconstructed_only
-0.149815,-4.048817,2.7,reconstructed_only
-0.120819,-3.21906,2.69,reconstructed_only
-0.116159,-3.09481,2.522143,reconstructed_only
-0.111498,-2.970561,2.354286,reconstructed_only
-0.106838,-2.846312,2.186429,reconstructed_only
-0.102178,-2.722062,2.018571,reconstructed_only
-0.097518,-2.597813,1.850714,reconstructed_only
-0.092858,-2.473563,1.682857,reconstructed_only
-0.088198,-2.349314,1.515,reconstructed_only
0.0,-4.05,1.53,reconstructed_only
0.0,-4.05,1.62,reconstructed_only
0.0,-4.05,1.71,reconstructed_only
0.0,-4.05,1.8,reconstructed_only
0.0,-4.05,1.89,reconstructed_only
0.0,-4.05,1.98,reconstructed_only
0.0,-4.05,2.07,reconstructed_only
0.0,-4.05,2.16,reconstructed_only
0.0,-4.05,2.25,reconstructed_only
0.0,-4.05,2.34,reconstructed_only
0.0,-4.05,2.43,reconstructed_only
0.0,-4.05,2.52,reconstructed_only
0.0,-4.05,2.61,reconstructed_only
0.0,-4.05,2.7,reconstructed_only
0.088198,-2.349314,1.515,reconstructed_only
0.120819,-3.21906,2.69,reconstructed_only
0.116159,-3.09481,2.522143,reconstructed_only
0.111498,-2.970561,2.354286,reconstructed_only
0.106838,-2.846312,2.186429,reconstructed_only
0.102178,-2.722062,2.018571,reconstructed_only
0.097518,-2.597813,1.850714,reconstructed_only
0.092858,-2.473563,1.682857,reconstructed_only
0.149815,-4.048817,1.53,reconstructed_only
0.149815,-4.048817,1.62,reconstructed_only
0.149815,-4.048817,1.71,reconstructed_only
0.149815,-4.048817,1.8,reconstructed_only
0.149815,-4.048817,1.89,reconstructed_only
0.149815,-4.048817,1.98,reconstructed_only
0.149815,-4.048817,2.07,reconstructed_only
0.149815,-4.048817,2.16,reconstructed_only
0.149815,-4.048817,2.25,reconstructed_only
0.149815,-4.048817,2.34,reconstructed_only
0.149815,-4.048817,2.43,reconstructed_only
0.149815,-4.048817,2.52,reconstructed_only
0.149815,-4.048817,2.61,reconstructed_only
0.149815,-4.048817,2.7,reconstructed_only
0.264387,-2.343827,1.355,reconstructed_only
0.264387,-2.343827,1.515,reconstructed_only
0.299543,-4.045271,1.53,reconstructed_only
0.299543,-4.045271,1.62,reconstructed_only
0.299543,-4.045271,1.71,reconstructed_only
0.299543,-4.045271,1.8,reconstructed_only
0.299543,-4.045271,1.89,reconstructed_only
0.299543,-4.045271,1.98,reconstructed_only
0.299543,-4.045271,2.07,reconstructed_only
0.299543,-4.045271,2.16,reconstructed_only
0.299543,-4.045271,2.25,reconstructed_only
0.299543,-4.045271,2.34,reconstructed_only
0.299543,-4.045271,2.43,reconstructed_only
0.299543,-4.045271,2.52,reconstructed_only
0.299543,-4.045271,2.61,reconstructed_only
0.299543,-4.045271,2.7,reconstructed_only
0.299543,-4.045271,2.79,reconstructed_only
0.306296,-2.715705,1.858571,reconstructed_only
0.306296,-2.715705,2.018571,reconstructed_only
0.292326,-2.591745,1.690714,reconstructed_only
0.292326,-2.591745,1.850714,reconstructed_only
0.278357,-2.467786,1.522857,reconstructed_only
0.278357,-2.467786,1.682857,reconstructed_only
0.348204,-3.087582,2.362143,reconstructed_only
0.348204,-3.087582,2.522143,reconstructed_only
0.334235,-2.963623,2.194286,reconstructed_only
0.334235,-2.963623,2.354286,reconstructed_only
0.320265,-2.839664,2.026429,reconstructed_only
0.320265,-2.839664,2.186429,reconstructed_only
0.362174,-3.211542,2.53,reconstructed_only
0.362174,-3.211542,2.69,reconstructed_only
0.449096,-4.039361,1.53,reconstructed_only
0.449096,-4.039361,1.62,reconstructed_only
0.449096,-4.039361,1.71,reconstructed_only
0.449096,-4.039361,1.8,reconstructed_only
0.449096,-4.039361,1.89,reconstructed_only
0.449096,-4.039361,1.98,reconstructed_only
0.449096,-4.039361,2.07,reconstructed_only
0.449096,-4.039361,2.16,reconstructed_only
0.449096,-4.039361,2.25,reconstructed_only
0.449096,-4.039361,2.34,reconstructed_only
0.449096,-4.039361,2.43,reconstructed_only
0.449096,-4.039361,2.52,reconstructed_only
0.449096,-4.039361,2.61,reconstructed_only
0.449096,-4.039361,2.7,reconstructed_only
0.449096,-4.039361,2.79,reconstructed_only
0.439959,-2.332866,1.515,reconstructed_only
0.416713,-2.209486,1.347143,reconstructed_only
0.486452,-2.579625,1.850714,reconstructed_only
0.463205,-2.456245,1.682857,reconstructed_only
0.532944,-2.826384,2.186429,reconstructed_only
0.509698,-2.703004,2.018571,reconstructed_only
0.579437,-3.073143,2.522143,reconstructed_only
0.556191,-2.949764,2.354286,reconstructed_only
0.582034,-2.193945,1.347143,reconstructed_only
0.598386,-4.031093,1.98,reconstructed_only
0.598386,-4.031093,2.07,reconstructed_only
0.598386,-4.031093,2.16,reconstructed_only
0.598386,-4.031093,2.25,reconstructed_only
0.598386,-4.031093,2.34,reconstructed_only
0.598386,-4.031093,2.43,reconstructed_only
0.598386,-4.031093,2.52,reconstructed_only
0.598386,-4.031093,2.61,reconstructed_only
0.598386,-4.031093,2.7,reconstructed_only
0.598386,-4.031093,2.79,reconstructed_only
0.602683,-3.196523,2.69,reconstructed_only
0.614503,-2.316456,1.515,reconstructed_only
0.646972,-2.438968,1.682857,reconstructed_only
0.71191,-2.683991,2.018571,reconstructed_only
0.679441,-2.56148,1.850714,reconstructed_only
