x,y,z,label
-6.053935,-0.873926,2.88,completed
-6.053935,-0.873926,2.97,completed
-6.053935,-0.873926,3.06,completed
-6.053935,-0.873926,3.15,completed
-6.053935,-0.873926,3.24,completed
-6.053935,-0.873926,3.33,completed
-6.053935,-0.873926,3.42,completed
-6.053935,-0.873926,3.51,completed
-6.053935,-0.873926,3.6,completed
-6.053935,-0.873926,3.69,completed
-6.053935,-0.873926,3.75,completed
-6.053935,0.873926,0.0,completed
-6.053935,0.873926,0.09,completed
-6.053935,0.873926,0.2,completed
-6.053935,0.873926,0.27,completed
-6.053935,0.873926,0.36,completed
-6.053935,0.873926,1.98,completed
-6.053935,0.873926,2.07,completed
-6.053935,0.873926,2.16,completed
-6.053935,0.873926,2.25,completed
-6.053935,0.873926,2.34,completed
-6.053935,0.873926,2.43,completed
-6.053935,0.873926,2.52,completed
-6.053935,0.873926,2.61,completed
-6.053935,0.873926,2.7,completed
-6.053935,0.873926,2.79,completed
-6.053935,0.873926,2.88,completed
-6.053935,0.873926,2.97,completed
-6.053935,0.873926,3.06,completed
-6.053935,0.873926,3.15,completed
-6.053935,0.873926,3.24,completed
-6.053935,0.873926,3.33,completed
-6.053935,0.873926,3.42,completed
-6.053935,0.873926,3.51,completed
-6.053935,0.873926,3.6,completed
-6.053935,0.873926,3.69,completed
-6.053935,0.873926,3.75,completed
-6.019839,-0.969228,0.0,completed
-6.019839,-0.969228,0.09,completed
-6.019839,-0.969228,0.2,completed
-6.019839,-0.969228,0.27,completed
-6.019839,-0.969228,0.36,completed
-6.019839,-0.969228,0.45,completed
-6.019839,-0.969228,0.54,completed
-6.019839,-0.969228,0.63,completed
-6.019839,-0.969228,0.72,completed
-6.019839,-0.969228,0.81,completed
-6.019839,-0.969228,0.9,completed
-6.019839,-0.969228,0.99,completed
-6.019839,-0.969228,1.08,completed
-6.019839,-0.969228,1.17,completed
-6.019839,-0.969228,1.26,completed
-6.019839,-0.969228,1.35,completed
-6.019839,-0.969228,1.44,completed
-6.019839,-0.969228,1.53,completed
-6.019839,-0.969228,1.62,completed
-6.019839,-0.969228,1.71,completed
-6.019839,-0.969228,1.8,completed
-6.019839,-0.969228,1.89,completed
-6.019839,-0.969228,1.98,completed
-6.019839,-0.969228,2.07,completed
-6.019839,-0.969228,2.16,completed
-6.019839,-0.969228,2.25,completed
-6.019839,-0.969228,2.34,completed
-6.019839,-0.969228,2.43,completed
-6.019839,-0.969228,2.52,completed
-6.019839,-0.969228,2.61,completed
-6.019839,-0.969228,2.7,completed
-6.019839,-0.969228,2.79,completed
-6.019839,-0.969228,2.88,completed
-6.019839,-0.969228,2.97,completed
-6.019839,-0.969228,3.06,completed
-6.019839,-0.969228,3.15,completed
-6.019839,-0.969228,3.24,completed
-6.019839,-0.969228,3.33,completed
-6.019839,-0.969228,3.42,completed
-6.019839,-0.969228,3.51,completed
-6.019839,-0.969228,3.6,completed
-6.019839,-0.969228,3.69,completed
-6.019839,-0.969228,3.75,completed
-6.019839,0.969228,0.0,completed
-6.019839,0.969228,0.09,completed
-6.019839,0.969228,0.2,completed
-6.019839,0.969228,0.27,completed
-6.019839,0.969228,0.36,completed
-6.019839,0.969228,0.45,completed
-6.019839,0.969228,0.54,completed
-6.019839,0.969228,0.63,completed
-6.019839,0.969228,0.72,completed
-6.019839,0.969228,0.81,completed
-6.019839,0.969228,0.9,completed
